Graph,n,m,diam,weighted?,alpha,implementation,k,b,|E^k|,#constraints,#nonzeros,IP build time,IP solve time,LB,UB,#B&B nodes,#callbacks,callback time,#lazy cuts,solve status #,heuristic time,heuristic obj,total time
email,1133,5451,8,N,n/a,R_full,4,15,548801,14675966,48385798,77.62,3605.49,-1E+100,473622,0,n/a,n/a,n/a,9,28.70,473622,3713.99
karate,34,78,5,N,n/a,Path_full,4,15,553,6024,23501,0.05,0.19,0,0,0,n/a,n/a,n/a,2,0.00,0,0.25
dolphins,62,159,8,N,n/a,Path_full,4,15,1459,19630,79434,0.11,43.32,157,157,109,n/a,n/a,n/a,2,0.02,169,43.50
lesmis,77,254,5,N,n/a,Path_full,4,15,2899,33212,130806,0.20,5.43,81,81,0,n/a,n/a,n/a,2,0.02,88,5.71
LindenStrasse,232,303,13,N,n/a,Path_full,4,15,7257,27166,91810,0.26,2.56,1069,1069,0,n/a,n/a,n/a,2,0.14,1099,3.15
polbooks,105,441,7,N,n/a,Path_full,4,15,4685,122284,513364,0.86,1747.37,1424,1424,129,n/a,n/a,n/a,2,0.13,1576,1748.60
adjnoun,112,425,5,N,n/a,Path_full,4,15,6178,344023,1487765,2.58,4155.59,2064,2681,0,n/a,n/a,n/a,9,0.20,2681,4158.90
football,115,613,4,N,n/a,Path_full,4,15,6555,298796,1291193,2.40,3601.34,3541,4748,0,n/a,n/a,n/a,9,0.39,4748,3604.67
netscience,1589,2742,1589,N,n/a,Path_full,4,15,22847,98756,338030,0.96,39.50,7130,7130,0,n/a,n/a,n/a,2,2.16,7330,43.37
jazz,198,2742,6,N,n/a,Path_full,4,15,19336,13844677,61504335,93.61,3631.71,-1E+100,14545,0,n/a,n/a,n/a,9,1.77,14545,3739.52
SmallWorld,233,994,4,N,n/a,Path_full,4,15,27028,994611,4229753,6.68,3604.11,4381,5428,0,n/a,n/a,n/a,9,0.56,5428,3613.02
Erdos971,429,1312,11,N,n/a,Path_full,4,15,62059,1978498,8542088,15.52,3601.02,32046,33530,0,n/a,n/a,n/a,9,3.93,33530,3625.89
S.Cerevisae,1458,1948,19,N,n/a,Path_full,4,15,117958,451679,1561768,8.58,27.82,37906,37906,0,n/a,n/a,n/a,2,18.02,38011,67.69
USAir,332,2126,6,N,n/a,Path_full,4,15,53447,4197634,18171709,33.15,301.86,14605,14605,0,n/a,n/a,n/a,2,1.43,14605,344.89
power,4941,6594,46,N,n/a,Path_full,4,15,105233,393306,1315074,22.96,21.07,88312,88312,0,n/a,n/a,n/a,2,306.43,98772,396.89
H.Pylori,706,1392,9,N,n/a,Path_full,4,15,162758,1801211,7409223,16.28,123.82,62589,62589,0,n/a,n/a,n/a,2,6.61,62589,159.78
Harvard500,500,2043,6,N,n/a,Path_full,4,15,119080,4117991,17846041,31.12,327.24,9648,9648,0,n/a,n/a,n/a,2,1.80,11217,371.06
homer,542,1619,9,N,n/a,Path_full,4,15,133947,3918142,16828090,31.28,3602.37,30837,32208,0,n/a,n/a,n/a,9,2.93,32208,3653.29
celegans_metabolic,453,2025,7,N,n/a,Path_full,4,15,100476,6821561,29705876,47.69,3616.98,29153,30093,0,n/a,n/a,n/a,9,4.75,30093,3685.28
hep-th,8361,15751,8361,N,n/a,Path_full,4,15,1340125,9643176,37994030,448.27,2047.11,1043763,1043763,0,n/a,n/a,n/a,2,598.75,1056387,3978.88
karate,34,78,5,N,n/a,Recursive,5,5,561,10623,32335,0.07,0.40,45,45,0,n/a,n/a,n/a,2,0.00,45,0.47
dolphins,62,159,8,N,n/a,Recursive,5,5,1717,31821,99494,0.17,5.18,771,771,0,n/a,n/a,n/a,2,0.01,837,5.38
lesmis,77,254,5,N,n/a,Recursive,5,5,2926,65001,206608,0.28,57.88,635,635,0,n/a,n/a,n/a,2,0.01,642,58.21
LindenStrasse,232,303,13,N,n/a,Recursive,5,5,12768,128506,383226,0.78,64.45,5900,5900,0,n/a,n/a,n/a,2,0.07,5965,65.39
polbooks,105,441,7,N,n/a,Recursive,5,5,5316,146687,482846,0.70,1005.33,4230,4230,532,n/a,n/a,n/a,2,0.04,4452,1006.12
adjnoun,112,425,5,N,n/a,Recursive,5,5,6216,209816,702801,1.03,3600.29,4775,4949,0,n/a,n/a,n/a,9,0.05,4949,3601.46
football,115,613,4,N,n/a,Recursive,5,5,6555,253282,856350,1.20,3600.36,5620,5995,13,n/a,n/a,n/a,9,0.06,5995,3601.70
netscience,1589,2742,1589,N,n/a,Recursive,5,5,34931,559813,1750792,12.58,128.33,15421,15421,0,n/a,n/a,n/a,2,0.35,16642,141.89
jazz,198,2742,6,N,n/a,Recursive,5,5,19495,1626572,5799325,8.81,3605.19,16715,18121,0,n/a,n/a,n/a,9,0.24,18121,3614.57
SmallWorld,233,994,4,N,n/a,Recursive,5,5,27028,917127,3061428,4.57,3809.37,12172,12689,0,n/a,n/a,n/a,9,0.12,12689,3814.20
Erdos971,429,1312,11,N,n/a,Recursive,5,5,79891,1583377,5152043,8.69,3600.32,-1E+100,67444,0,n/a,n/a,n/a,9,0.40,67444,3609.59
S.Cerevisae,1458,1948,19,N,n/a,Recursive,5,5,270717,2484346,7431280,20.97,549.01,148782,148782,0,n/a,n/a,n/a,2,3.46,148782,574.35
USAir,332,2126,6,N,n/a,Recursive,5,5,54890,2237083,7687082,11.09,3603.31,33930,34280,0,n/a,n/a,n/a,9,0.27,34280,3614.86
power,4941,6594,46,N,n/a,Recursive,5,5,185992,1807493,5306114,118.20,3601.74,-1E+100,180449,0,n/a,n/a,n/a,9,39.19,180449,3782.29
H.Pylori,706,1392,9,N,n/a,Recursive,5,5,225276,2878774,8942868,14.97,3618.65,-1E+100,173874,0,n/a,n/a,n/a,9,0.97,173874,3634.96
Harvard500,500,2043,6,N,n/a,Recursive,5,5,124560,4050055,13603104,18.79,3603.31,60057,65505,0,n/a,n/a,n/a,9,0.43,65505,3622.98
homer,542,1619,9,N,n/a,Recursive,5,5,143902,3112921,10119513,16.39,3613.64,-1E+100,87446,0,n/a,n/a,n/a,9,0.47,87446,3630.82
celegans_metabolic,453,2025,7,N,n/a,Recursive,5,5,102196,3510390,11812690,23.86,3617.82,-1E+100,83161,0,n/a,n/a,n/a,9,0.62,83161,3642.75
email,1133,5451,8,N,n/a,Recursive,5,5,631370,23785678,81446583,115.97,3734.94,-1E+100,617078,0,n/a,n/a,n/a,9,3.83,617078,3857.66
karate,34,78,5,N,n/a,Thin_I,5,5,561,2736,14743,0.10,0.10,45,45,0,3,0.00,9,2,0.00,45,0.20
dolphins,62,159,8,N,n/a,Thin_I,5,5,1717,9086,50720,0.11,1.95,771,771,6,4,0.01,265,2,0.01,837,2.07
lesmis,77,254,5,N,n/a,Thin_I,5,5,2926,15157,82439,0.12,1.88,635,635,7,5,0.01,128,2,0.01,642,2.01
